1,9,1,0,0.5117052
3,9,1,0,0.58166987
5,9,1,0,0.5701678
7,9,1,0,0.54869306
9,9,1,0,0.44975397
11,9,2,0,-1.0674666
13,9,2,0,-1.0260563
15,9,2,0,-0.8289874
17,9,2,0,-0.6341178
19,9,2,0,-0.48222488
21,9,3,0,-0.4156682
23,9,3,0,-0.4021107
25,9,3,0,-0.39263323
27,9,3,0,-0.39085495
29,9,3,0,-0.39246294
31,9,4,0,-0.40089214
33,9,4,0,-0.51534736
35,9,4,0,-0.7315707
37,9,4,0,-1.045936
39,9,4,0,-1.1942906
1,7,1,0,0.5466673
3,7,1,0,0.7188742
5,7,1,0,0.7285692
7,7,1,0,0.68343633
9,7,1,0,0.47367218
11,7,2,0,-0.98437226
13,7,2,0,-1.0081501
15,7,2,0,-0.8699721
17,7,2,0,-0.66284966
19,7,2,0,-0.51598656
21,7,3,0,-0.42522493
23,7,3,0,-0.41217473
25,7,3,0,-0.40653652
27,7,3,0,-0.40805835
29,7,3,0,-0.40368927
31,7,4,0,-0.42112616
33,7,4,0,-0.5499165
35,7,4,0,-0.8044918
37,7,4,0,-1.0741311
39,7,4,0,-1.0950769
1,5,1,0,0.4985779
3,5,1,0,0.6817233
5,5,1,0,0.69526684
7,5,1,0,0.6460139
9,5,1,0,0.42419776
11,5,2,0,-0.91717494
13,5,2,0,-0.9477084
15,5,2,0,-0.85597956
17,5,2,0,-0.67179215
19,5,2,0,-0.54627013
21,5,3,0,-0.42707598
23,5,3,0,-0.40565187
25,5,3,0,-0.39178705
27,5,3,0,-0.39431348
29,5,3,0,-0.4031734
31,5,4,0,-0.44167486
33,5,4,0,-0.5765012
35,5,4,0,-0.8054448
37,5,4,0,-1.0251279
39,5,4,0,-1.0322189
1,3,1,0,0.3986456
3,3,1,0,0.6021901
5,3,1,0,0.62165374
7,3,1,0,0.5718331
9,3,1,0,0.34624663
11,3,2,0,-0.9032916
13,3,2,0,-0.9248176
15,3,2,0,-0.81581867
17,3,2,0,-0.6471568
19,3,2,0,-0.54568183
21,3,3,0,-0.4153736
23,3,3,0,-0.3858019
25,3,3,0,-0.3718666
27,3,3,0,-0.378381
29,3,3,0,-0.39221162
31,3,4,0,-0.44258803
33,3,4,0,-0.5564389
35,3,4,0,-0.77331233
37,3,4,0,-1.0001252
39,3,4,0,-1.0334041
1,1,1,0,0.30427894
3,1,1,0,0.6042795
5,1,1,0,0.60815656
7,1,1,0,0.54236543
9,1,1,0,0.2580091
11,1,2,0,-0.9063122
13,1,2,0,-0.87453014
15,1,2,0,-0.7338923
17,1,2,0,-0.5805178
19,1,2,0,-0.49410415
21,1,3,0,-0.3936802
23,1,3,0,-0.3610843
25,1,3,0,-0.33576414
27,1,3,0,-0.35424498
29,1,3,0,-0.37746805
31,1,4,0,-0.40071136
33,1,4,0,-0.49374542
35,1,4,0,-0.66349316
37,1,4,0,-0.9058002
39,1,4,0,-1.0398356
1,9,1,10,0.39635193
3,9,1,10,0.5294175
5,9,1,10,0.5570524
7,9,1,10,0.5749723
9,9,1,10,0.5533672
11,9,2,10,-1.1924201
13,9,2,10,-0.81017566
15,9,2,10,-0.49263248
17,9,2,10,-0.34986794
19,9,2,10,-0.32314497
21,9,3,10,-0.39825684
23,9,3,10,-0.40912002
25,9,3,10,-0.41828334
27,9,3,10,-0.4381595
29,9,3,10,-0.47442108
31,9,4,10,-0.62528944
33,9,4,10,-0.78344643
35,9,4,10,-0.92227083
37,9,4,10,-0.99480206
39,9,4,10,-0.9459526
1,7,1,10,0.42987832
3,7,1,10,0.66006166
5,7,1,10,0.71703666
7,7,1,10,0.7232196
9,7,1,10,0.59688276
11,7,2,10,-1.0712988
13,7,2,10,-0.8904298
15,7,2,10,-0.582296
17,7,2,10,-0.38733092
19,7,2,10,-0.3432687
21,7,3,10,-0.4105229
23,7,3,10,-0.42452765
25,7,3,10,-0.4343265
27,7,3,10,-0.4520715
29,7,3,10,-0.48847756
31,7,4,10,-0.66622156
33,7,4,10,-0.7703949
35,7,4,10,-0.90662634
37,7,4,10,-0.950271
39,7,4,10,-0.8804365
1,5,1,10,0.38690904
3,5,1,10,0.62195575
5,5,1,10,0.6848297
7,5,1,10,0.68701905
9,5,1,10,0.5396957
11,5,2,10,-0.99359053
13,5,2,10,-0.8683319
15,5,2,10,-0.61140776
17,5,2,10,-0.42032662
19,5,2,10,-0.35669723
21,5,3,10,-0.40803054
23,5,3,10,-0.42288315
25,5,3,10,-0.42665806
27,5,3,10,-0.44230857
29,5,3,10,-0.48490882
31,5,4,10,-0.687841
33,5,4,10,-0.7594084
35,5,4,10,-0.8743172
37,5,4,10,-0.9043212
39,5,4,10,-0.8374752
1,3,1,10,0.2900167
3,3,1,10,0.53713226
5,3,1,10,0.6039768
7,3,1,10,0.6022907
9,3,1,10,0.44683418
11,3,2,10,-0.95891863
13,3,2,10,-0.8456068
15,3,2,10,-0.5987373
17,3,2,10,-0.41936234
19,3,2,10,-0.35990322
21,3,3,10,-0.38911468
23,3,3,10,-0.40583274
25,3,3,10,-0.40770522
27,3,3,10,-0.4219312
29,3,3,10,-0.46976647
31,3,4,10,-0.67381054
33,3,4,10,-0.73916703
35,3,4,10,-0.84648687
37,3,4,10,-0.8906052
39,3,4,10,-0.84695256
1,1,1,10,0.23067391
3,1,1,10,0.5148972
5,1,1,10,0.59423494
7,1,1,10,0.57349044
9,1,1,10,0.33714157
11,1,2,10,-0.9399774
13,1,2,10,-0.7652514
15,1,2,10,-0.5048296
17,1,2,10,-0.3684359
19,1,2,10,-0.32139292
21,1,3,10,-0.38066107
23,1,3,10,-0.38491568
25,1,3,10,-0.3734435
27,1,3,10,-0.39129794
29,1,3,10,-0.43603688
31,1,4,10,-0.6130788
33,1,4,10,-0.680474
35,1,4,10,-0.78882664
37,1,4,10,-0.8580148
39,1,4,10,-0.85183674
1,9,1,20,0.2659603
3,9,1,20,0.43516025
5,9,1,20,0.49287692
7,9,1,20,0.53903306
9,9,1,20,0.607423
11,9,2,20,-0.76777923
13,9,2,20,-0.3020422
15,9,2,20,-0.18632612
17,9,2,20,-0.18561256
19,9,2,20,-0.24448667
21,9,3,20,-0.41899595
23,9,3,20,-0.43549332
25,9,3,20,-0.44759968
27,9,3,20,-0.4744243
29,9,3,20,-0.53812015
31,9,4,20,-0.76323116
33,9,4,20,-0.7920828
35,9,4,20,-0.80411506
37,9,4,20,-0.789037
39,9,4,20,-0.7492583
1,7,1,20,0.29282147
3,7,1,20,0.5510924
5,7,1,20,0.64342046
7,7,1,20,0.6906206
9,7,1,20,0.67478245
11,7,2,20,-0.7061887
13,7,2,20,-0.35437515
15,7,2,20,-0.1943506
17,7,2,20,-0.17456144
19,7,2,20,-0.26330718
21,7,3,20,-0.42628482
23,7,3,20,-0.45104584
25,7,3,20,-0.47447455
27,7,3,20,-0.50038177
29,7,3,20,-0.5575746
31,7,4,20,-0.797174
33,7,4,20,-0.7604084
35,7,4,20,-0.7791762
37,7,4,20,-0.7559622
39,7,4,20,-0.70716894
1,5,1,20,0.25553012
3,5,1,20,0.5146354
5,5,1,20,0.61117375
7,5,1,20,0.66387933
9,5,1,20,0.62610996
11,5,2,20,-0.6574468
13,5,2,20,-0.37297443
15,5,2,20,-0.2201962
17,5,2,20,-0.18971676
19,5,2,20,-0.26899382
21,5,3,20,-0.41992933
23,5,3,20,-0.45228496
25,5,3,20,-0.4706495
27,5,3,20,-0.4865667
29,5,3,20,-0.544524
31,5,4,20,-0.7999521
33,5,4,20,-0.7549005
35,5,4,20,-0.76010245
37,5,4,20,-0.72919965
39,5,4,20,-0.6803308
1,3,1,20,0.17736606
3,3,1,20,0.44854313
5,3,1,20,0.5473528
7,3,1,20,0.5966854
9,3,1,20,0.5460087
11,3,2,20,-0.6102398
13,3,2,20,-0.38031137
15,3,2,20,-0.2271792
17,3,2,20,-0.19095987
19,3,2,20,-0.267372
21,3,3,20,-0.39749756
23,3,3,20,-0.4316702
25,3,3,20,-0.45266125
27,3,3,20,-0.4588893
29,3,3,20,-0.50812125
31,3,4,20,-0.7607592
33,3,4,20,-0.74159294
35,3,4,20,-0.7484464
37,3,4,20,-0.7273062
39,3,4,20,-0.6802734
1,1,1,20,0.1560905
3,1,1,20,0.43411955
5,1,1,20,0.5385722
7,1,1,20,0.56425023
9,1,1,20,0.4324035
11,1,2,20,-0.5627295
13,1,2,20,-0.32023218
15,1,2,20,-0.17746015
